ID;Noun;Gender;Year;Artist
3;Strophe;['Fem'];2022;Die Toten Hosen
3;Mal;['Neut'];2022;Die Toten Hosen
3;Pferde;['Neut'];2022;Die Toten Hosen
3;Wege;['Masc'];2022;Die Toten Hosen
3;Ende;['Neut'];2022;Die Toten Hosen
3;Welt;['Fem'];2022;Die Toten Hosen
3;Refrain;['Masc'];2022;Die Toten Hosen
3;Kopf;['Masc'];2022;Die Toten Hosen
3;Schulter;['Fem'];2022;Die Toten Hosen
3;Bonnie;['Fem'];2022;Die Toten Hosen
3;Auto;['Neut'];2022;Die Toten Hosen
3;Bonnie;['Fem'];2022;Die Toten Hosen
3;Strophe;['Fem'];2022;Die Toten Hosen
3;Leben;['Neut'];2022;Die Toten Hosen
3;Banken;['Fem'];2022;Die Toten Hosen
3;Geldtransport;['Masc'];2022;Die Toten Hosen
3;Bullen;['Fem'];2022;Die Toten Hosen
3;Refrain;['Masc'];2022;Die Toten Hosen
3;Kopf;['Masc'];2022;Die Toten Hosen
3;Schulter;['Fem'];2022;Die Toten Hosen
3;Bonnie;['Fem'];2022;Die Toten Hosen
3;Welt;['Fem'];2022;Die Toten Hosen
3;Bonnie;['Fem'];2022;Die Toten Hosen
3;Boden;['Masc'];2022;Die Toten Hosen
3;Füßen;['Masc'];2022;Die Toten Hosen
3;Staub;['Masc'];2022;Die Toten Hosen
3;Bergen;['Masc'];2022;Die Toten Hosen
3;Tod;['Masc'];2022;Die Toten Hosen
3;Freiheit;['Fem'];2022;Die Toten Hosen
3;Grabstein;['Masc'];2022;Die Toten Hosen
3;Refrain;['Masc'];2022;Die Toten Hosen
3;Kopf;['Masc'];2022;Die Toten Hosen
3;Schulter;['Fem'];2022;Die Toten Hosen
3;Bonnie;['Fem'];2022;Die Toten Hosen
3;Leben;['Neut'];2022;Die Toten Hosen
3;Tür;['Fem'];2022;Die Toten Hosen
3;Bonnie;['Fem'];2022;Die Toten Hosen
3;Kopf;['Masc'];2022;Die Toten Hosen
3;Schulter;['Fem'];2022;Die Toten Hosen
3;Bonnie;['Fem'];2022;Die Toten Hosen
3;Liebe;['Fem'];2022;Die Toten Hosen
3;Sprengsatz;['Masc'];2022;Die Toten Hosen
3;Clyde1Embed;['Neut'];2022;Die Toten Hosen
4;Fieber;['Neut'];2022;Die Toten Hosen
4;Songtext;['Masc'];2022;Die Toten Hosen
4;Fieber;['Neut'];2022;Die Toten Hosen
4;Strophe;['Fem'];2022;Die Toten Hosen
4;Tage;['Masc'];2022;Die Toten Hosen
4;verlier'n;['Neut'];2022;Die Toten Hosen
4;Kisten;['Fem'];2022;Die Toten Hosen
4;Geschichten;['Fem'];2022;Die Toten Hosen
4;Haufen;['Masc'];2022;Die Toten Hosen
4;Altpapier;['Neut'];2022;Die Toten Hosen
4;Musik;['Fem'];2022;Die Toten Hosen
4;Fotos;['Neut'];2022;Die Toten Hosen
4;Erinnern;['Neut'];2022;Die Toten Hosen
4;Refrain;['Masc'];2022;Die Toten Hosen
4;Lieder;['Neut'];2022;Die Toten Hosen
4;Zeit;['Fem'];2022;Die Toten Hosen
4;Strophe;['Fem'];2022;Die Toten Hosen
4;Straße;['Fem'];2022;Die Toten Hosen
4;Lauf;['Masc'];2022;Die Toten Hosen
4;Laden;['Masc'];2022;Die Toten Hosen
4;Seh;['Neut'];2022;Die Toten Hosen
4;Weiß;['Neut'];2022;Die Toten Hosen
4;Höh'n;['Masc'];2022;Die Toten Hosen
4;Tiefen;['Fem'];2022;Die Toten Hosen
4;war'n;['Neut'];2022;Die Toten Hosen
4;Kreuze;['Neut'];2022;Die Toten Hosen
4;Refrain;['Masc'];2022;Die Toten Hosen
4;Lieder;['Neut'];2022;Die Toten Hosen
4;Zeit;['Fem'];2022;Die Toten Hosen
4;Woah-oh;['Masc'];2022;Die Toten Hosen
4;Fieber;['Neut'];2022;Die Toten Hosen
4;Woah-oh;['Masc'];2022;Die Toten Hosen
4;Glas;['Neut'];2022;Die Toten Hosen
4;draufgegangen;['Fem'];2022;Die Toten Hosen
4;Refrain;['Masc'];2022;Die Toten Hosen
4;Lieder;['Neut'];2022;Die Toten Hosen
4;Zeit;['Fem'];2022;Die Toten Hosen
4;Woah-oh;['Masc'];2022;Die Toten Hosen
4;Fieber;['Neut'];2022;Die Toten Hosen
4;Woah-oh;['Masc'];2022;Die Toten Hosen
4;Woah-oh;['Masc'];2022;Die Toten Hosen
4;Fieber;['Neut'];2022;Die Toten Hosen
4;Woah-oh;['Masc'];2022;Die Toten Hosen
5;Songtext;['Masc'];2022;Die Toten Hosen
5;Strophe;['Fem'];2022;Die Toten Hosen
5;];['Neut'];2022;Die Toten Hosen
5;Sonnenschein;['Masc'];2022;Die Toten Hosen
5;Menschen;['Masc'];2022;Die Toten Hosen
5;Solidaritätszuschlag;['Masc'];2022;Die Toten Hosen
5;Reeperbahn;['Fem'];2022;Die Toten Hosen
5;Autostadt;['Fem'];2022;Die Toten Hosen
5;Pillenstadt;['Fem'];2022;Die Toten Hosen
5;ein'n;['Neut'];2022;Die Toten Hosen
5;Villa;['Fem'];2022;Die Toten Hosen
5;Austern;['Neut'];2022;Die Toten Hosen
5;Champagner;['Masc'];2022;Die Toten Hosen
5;KaDeWe;['Neut'];2022;Die Toten Hosen
5;Krebs;['Masc'];2022;Die Toten Hosen
5;Charité;['Fem'];2022;Die Toten Hosen
5;Refrain;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Scheiß;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Sack;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;[;['Neut'];2022;Die Toten Hosen
5;Strophe;['Fem'];2022;Die Toten Hosen
5;Jahren;['Neut'];2022;Die Toten Hosen
5;Pralin'n;['Masc'];2022;Die Toten Hosen
5;seh'n;['Masc'];2022;Die Toten Hosen
5;Bio-Fleisch;['Neut'];2022;Die Toten Hosen
5;Tradition;['Fem'];2022;Die Toten Hosen
5;Kaviar;['Masc'];2022;Die Toten Hosen
5;Bahnhofsmission;['Fem'];2022;Die Toten Hosen
5;Feuilleton;['Neut'];2022;Die Toten Hosen
5;Hauptstadt;['Fem'];2022;Die Toten Hosen
5;Sorgen;['Fem'];2022;Die Toten Hosen
5;AfD;['Fem'];2022;Die Toten Hosen
5;Eisbär'n;['Fem'];2022;Die Toten Hosen
5;Refrain;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Scheiß;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Sack;['Masc'];2022;Die Toten Hosen
5;Wessis;['Masc'];2022;Die Toten Hosen
5;Neonlicht;['Neut'];2022;Die Toten Hosen
5;Oktoberfest;['Neut'];2022;Die Toten Hosen
5;Seele;['Fem'];2022;Die Toten Hosen
5;Osten;['Masc'];2022;Die Toten Hosen
5;Trink;['Neut'];2022;Die Toten Hosen
5;Champagner;['Masc'];2022;Die Toten Hosen
