,Noun,Year,Artist,Popularity
131,Tier,2023,Peter Fox,65
132,Tier,2023,Peter Fox,66
133,Kreis,2023,Peter Fox,65
134,Kind,2023,Peter Fox,71
135,Kind,2023,Peter Fox,71
136,Kind,2023,Peter Fox,71
137,Kind,2023,Peter Fox,71
138,Kind,2023,Peter Fox,71
139,Kind,2023,Peter Fox,71
140,Kind,2023,Peter Fox,71
141,Kind,2023,Peter Fox,71
142,Kind,2023,Peter Fox,71
143,Kind,2023,Peter Fox,71
144,Kind,2023,Peter Fox,71
145,Kind,2023,Peter Fox,71
146,Kind,2023,Peter Fox,71
147,Kind,2023,Peter Fox,71
148,Kind,2023,Peter Fox,71
149,Kind,2023,Peter Fox,71
150,Kind,2023,Peter Fox,71
151,Kind,2023,Peter Fox,71
152,Kind,2023,Peter Fox,71
153,Kind,2023,Peter Fox,71
154,Kind,2023,Peter Fox,71
155,Kind,2023,Peter Fox,71
156,Kind,2023,Peter Fox,71
157,Kind,2023,Peter Fox,71
158,Kind,2023,Peter Fox,71
159,Kind,2023,Peter Fox,71
160,Kind,2023,Peter Fox,71
161,Kind,2023,Peter Fox,71
162,Kind,2023,Peter Fox,71
163,Kind,2023,Peter Fox,71
164,Kinder,2008,Peter Fox,69
165,Kinder,2008,Peter Fox,69
166,Kinder,2008,Peter Fox,69
167,Zimmer,2008,Peter Fox,56
168,Kreis,2008,Peter Fox,56
169,Pause,2008,Peter Fox,56
170,Stimme,2008,Peter Fox,54
171,Stimme,2008,Peter Fox,54
172,Kamera,2008,Peter Fox,63
173,Kinder,2008,Peter Fox,63
174,Chor,2008,Peter Fox,63
175,Shops,2008,Peter Fox,63
176,Verwandte,2008,Peter Fox,53
177,DJ,2008,Peter Fox,67
178,Kurs,2008,Peter Fox,62
179,Kinder,2008,Peter Fox,62
180,Menschen,2022,Bonez MC,46
181,Team,2022,Bonez MC,46
182,Kinder,2022,Bonez MC,46
183,Team,2022,Bonez MC,66
184,Team,2022,Bonez MC,66
185,Presse,2022,Bonez MC,62
186,Presse,2022,Bonez MC,62
187,Vater,2022,Bonez MC,62
188,Konzert,2022,Bonez MC,68
189,Konzert,2022,Bonez MC,68
190,Polizei,2022,Bonez MC,56
191,Team,2022,Bonez MC,55
192,Konzert,2022,Bonez MC,52
193,Teenie,2022,Bonez MC,52
194,Konzert,2022,Bonez MC,52
195,Kinder,2022,Bonez MC,52
196,Team,2022,Ahmad Amin,39
197,Zimmer,2022,LX,32
198,Kinder,2022,LX,32
199,Konkurrenz,2022,RAF Camora,33
200,Konkurrenz,2022,RAF Camora,33
201,Konkurrenz,2022,RAF Camora,33
202,Konkurrenz,2022,RAF Camora,33
203,Konkurrenz,2022,RAF Camora,33
204,Konkurrenz,2022,RAF Camora,33
205,Konkurrenz,2022,RAF Camora,33
206,Konkurrenz,2022,RAF Camora,33
207,Konkurrenz,2022,RAF Camora,33
208,Konkurrenz,2022,RAF Camora,33
209,Wache,2022,RAF Camora,33
210,Team,2022,RAF Camora,33
211,Kind,2022,RAF Camora,33
212,Kind,2022,RAF Camora,33
213,Kind,2022,RAF Camora,33
214,Team,2022,RAF Camora,33
215,Kind,2022,RAF Camora,33
216,Kind,2022,RAF Camora,33
217,Kind,2022,RAF Camora,33
218,Polizei,2022,RAF Camora,36
219,Polizei,2022,RAF Camora,36
220,Polizei,2022,RAF Camora,36
221,Polizei,2022,RAF Camora,36
222,Team,2022,Subasa,33
